,What country do you live in?,What country do you work in?
0,GBR,GBR
1,USA,USA
2,GBR,GBR
3,GBR,GBR
4,USA,USA
5,GBR,GBR
6,USA,USA
7,USA,USA
8,USA,USA
9,USA,USA
10,USA,USA
11,USA,USA
12,USA,USA
13,CAN,CAN
14,USA,USA
15,USA,USA
16,CAN,CAN
17,GBR,GBR
18,USA,USA
19,USA,USA
20,USA,USA
21,USA,USA
22,DEU,DEU
23,CAN,CAN
24,USA,USA
25,DEU,DEU
26,NLD,NLD
27,DEU,DEU
28,GBR,GBR
29,GBR,GBR
30,DEU,DEU
31,USA,USA
32,USA,USA
33,CZE,CZE
34,GBR,GBR
35,DEU,DEU
36,USA,USA
37,GBR,GBR
38,GBR,GBR
39,CAN,CAN
40,USA,USA
41,USA,USA
42,NLD,NLD
43,LTU,LTU
44,USA,USA
45,USA,USA
46,USA,USA
47,USA,USA
48,GBR,GBR
49,USA,USA
50,AUS,AUS
51,USA,USA
52,NLD,NLD
53,USA,USA
54,USA,USA
55,USA,USA
56,USA,USA
57,CAN,CAN
58,USA,USA
59,USA,USA
60,FRA,FRA
61,GBR,GBR
62,USA,USA
63,VEN,VEN
64,GBR,GBR
65,NLD,NLD
66,USA,USA
67,USA,USA
68,USA,USA
69,NLD,NLD
70,POL,POL
71,BEL,BEL
72,USA,USA
73,NLD,NLD
74,USA,USA
75,NLD,NLD
77,NLD,NLD
78,USA,USA
79,USA,USA
80,GBR,GBR
81,BRA,BRA
82,CAN,CAN
83,USA,USA
84,FRA,FRA
85,USA,USA
86,CAN,CAN
87,GBR,GBR
88,USA,USA
89,USA,USA
90,BRA,BRA
91,USA,USA
92,GBR,GBR
93,BRA,BRA
94,USA,USA
95,USA,USA
96,USA,USA
97,USA,USA
98,NLD,NLD
99,USA,USA
100,USA,USA
101,USA,USA
102,USA,USA
103,USA,USA
104,NLD,NLD
105,USA,USA
106,USA,USA
107,USA,USA
108,USA,USA
109,DNK,DNK
110,USA,USA
111,USA,USA
112,USA,USA
114,BEL,BEL
115,USA,USA
116,USA,USA
117,USA,USA
118,USA,USA
119,USA,USA
120,GBR,GBR
121,USA,USA
122,NLD,NLD
123,DEU,DEU
124,USA,USA
125,USA,USA
126,USA,USA
127,NLD,NLD
128,FRA,FRA
129,USA,USA
130,USA,USA
131,USA,USA
132,USA,USA
133,USA,USA
134,USA,USA
135,USA,USA
136,USA,USA
137,USA,USA
138,USA,USA
139,USA,USA
140,CAN,CAN
141,USA,USA
142,USA,USA
143,GBR,GBR
144,USA,USA
145,DEU,DEU
146,USA,USA
147,USA,USA
148,CAN,CAN
149,USA,USA
150,USA,USA
151,USA,USA
152,USA,USA
153,USA,USA
154,USA,USA
155,USA,USA
156,USA,USA
157,USA,USA
158,CAN,CAN
159,USA,USA
160,USA,USA
161,USA,USA
162,USA,USA
163,USA,USA
164,USA,USA
165,NLD,NLD
166,NLD,NLD
167,GBR,GBR
168,NLD,NLD
169,DEU,DEU
170,DEU,DEU
171,USA,USA
172,USA,USA
173,USA,USA
174,USA,USA
175,USA,USA
176,USA,USA
177,USA,USA
178,GBR,GBR
179,USA,USA
180,GBR,GBR
181,GBR,GBR
182,NLD,NLD
183,NLD,NLD
184,USA,USA
185,DNK,DNK
186,USA,USA
187,USA,USA
188,USA,USA
189,USA,USA
190,USA,USA
191,BEL,BEL
192,DEU,DEU
193,GBR,GBR
194,USA,USA
195,GBR,GBR
196,SWE,SWE
197,GBR,GBR
198,USA,USA
199,USA,USA
200,USA,USA
201,GBR,GBR
202,RUS,RUS
203,USA,USA
204,USA,USA
205,GBR,GBR
206,SWE,SWE
207,USA,USA
208,USA,USA
209,GBR,GBR
210,DEU,DEU
211,USA,USA
212,GBR,GBR
213,RUS,RUS
214,RUS,RUS
215,USA,USA
216,USA,USA
217,BEL,BEL
218,RUS,RUS
219,RUS,RUS
220,DNK,DNK
221,CAN,CAN
222,USA,USA
223,ESP,ESP
224,GBR,GBR
225,USA,USA
226,FRA,FRA
227,IND,IND
228,USA,USA
229,USA,USA
230,USA,USA
