,What US state or territory do you live in?,What US state or territory do you work in?
0,,
1,IL,IL
2,,
3,,
4,IL,IL
5,,
6,TN,TN
7,VA,VA
8,CA,CA
9,KY,KY
10,OR,OR
11,PA,PA
12,NJ,NJ
13,,
14,GA,GA
15,OR,OR
16,,
17,,
18,WA,WA
19,NJ,NY
20,NY,NY
21,IN,IN
22,,
23,,
24,NY,NY
25,,
26,,
27,,
28,,
29,,
30,,
31,NY,NY
32,MN,MN
33,,
34,,
35,,
36,WA,WA
37,,
38,,
39,,
40,GA,GA
41,MN,MN
42,,
43,,
44,GA,GA
45,KY,KY
46,WV,OH
47,VA,VA
48,,
49,CA,CA
50,,
51,CA,CA
52,,
53,CA,CA
54,FL,FL
55,MA,MA
56,OR,OR
57,,
58,ND,ND
59,TN,TN
60,,
61,,
62,NY,NY
63,,
64,,
65,,
66,IN,IN
67,TX,TX
68,NY,NY
69,,
70,,
71,,
72,TX,TX
73,,
74,TN,TN
75,,
77,,
78,MD,DC
79,WI,TN
80,,
81,,
82,,
83,IL,IL
84,,
85,MI,MI
86,,
87,,
88,TX,TX
89,IL,IL
90,,
91,WA,WA
92,,
93,,
94,ND,ND
95,CA,CA
96,VT,VT
97,IL,IL
98,,
99,CA,CA
100,WA,WA
101,PA,PA
102,NC,NC
103,IL,IL
104,,
105,IN,IN
106,NC,NC
107,NY,NY
108,NC,NC
109,,
110,IN,MO
111,CA,CA
112,KS,KS
114,,
115,IN,IN
116,TN,TN
117,MN,MN
118,DC,DC
119,TN,TN
120,,
121,IL,IL
122,,
123,,
124,WA,WA
125,NV,NV
126,IN,IN
127,,
128,,
129,IL,IL
130,GA,GA
131,OR,OR
132,UT,UT
133,TN,TN
134,CT,CT
135,TN,TN
136,VA,VA
137,FL,FL
138,NY,NY
139,CA,CA
140,,
141,IL,IL
142,MD,MD
143,,
144,WA,WA
145,,
146,IN,IN
147,OR,OR
148,,
149,MI,MI
150,IL,IL
151,CO,CO
152,MI,MI
153,IL,NY
154,MN,MN
155,OR,OR
156,CA,CA
157,CA,CA
158,,
159,IN,IN
160,CA,CA
161,OH,OH
162,CA,CA
163,CA,CA
164,CA,CA
165,,
166,,
167,,
168,,
169,,
170,,
171,FL,FL
172,NC,NC
173,OH,OH
174,OR,OR
175,IL,IL
176,OR,OR
177,IL,IL
178,,
179,VA,CA
180,,
181,,
182,,
183,,
184,OH,OH
185,,
186,OR,CA
187,CA,CA
188,IA,IA
189,CA,CA
190,WA,WA
191,,
192,,
193,,
194,CT,CT
195,,
196,,
197,,
198,CA,CA
199,OH,OH
200,TX,TX
201,,
202,,
203,CA,CA
204,MN,MN
205,,
206,,
207,CO,CO
208,IN,IN
209,,
210,,
211,SD,SD
212,,
213,,
214,,
215,NV,NV
216,CA,CA
217,,
218,,
219,,
220,,
221,,
222,CA,CA
223,,
224,,
225,CA,HI
226,,
227,,
228,FL,FL
229,CA,CA
230,CA,CA
231,NE,NE
232,,
233,ME,ME
234,MO,MO
235,AZ,AZ
236,,
237,,
238,CA,CA
239,,
240,,
241,OK,OK
242,,
243,,
244,,
245,NY,NY
246,,
247,OR,WI
248,AZ,AZ
249,CA,CA
250,WA,
251,,
252,MI,MI
253,MI,MI
254,IL,IL
255,,
256,MI,MI
257,MI,MI
258,CA,CA
259,MI,MI
260,MI,MI
261,MI,MI
262,,
263,WA,WA
264,TX,TX
265,,
266,MI,MI
267,MI,MI
268,,
269,MI,MI
270,,
271,MI,MI
272,WA,WA
273,MI,MI
274,,
275,MI,MI
276,KS,KS
277,WA,WA
278,WA,WA
279,CA,CA
280,FL,FL
281,CA,CA
282,CA,CA
283,,
284,,
285,CA,CA
286,OR,OR
287,CA,CA
288,ID,VA
289,,
290,,
291,,
292,,
293,,
294,NY,NJ
295,,
296,,
297,,
298,,
299,,
300,,
301,,
302,,
303,,
304,,
305,,NY
306,,
307,,
308,,NY
309,,
310,,
311,,
312,,
313,IL,IL
314,,
315,WA,WA
316,IN,IN
317,MN,MN
318,IN,IN
319,VT,VT
320,,
321,,
322,,
323,,
324,,
325,,
326,,
327,,
328,,
329,IN,IN
330,,
331,IL,IL
332,,
333,,
334,,WA
335,NY,NY
336,MI,MI
337,,
338,MN,MN
339,,
341,VA,VA
342,,
343,,
344,IL,IL
345,TX,TX
346,,
347,RI,RI
348,IL,IL
349,IL,IL
350,PA,PA
351,,
352,CA,CA
353,,
354,OR,OR
355,KS,KS
356,IL,IL
357,MN,MN
358,CA,CA
359,MI,CA
360,,
361,OR,OR
362,VT,VT
363,TX,TX
364,MD,MD
365,NY,NY
366,,
367,CA,CA
368,NY,NY
369,PA,PA
370,CA,CA
371,,
372,MI,MI
373,,
374,,
375,,
376,,
377,CA,CA
378,IL,IL
379,,
380,,
381,CA,CA
382,CA,CA
383,CA,CA
384,,
385,CA,CA
386,CA,
387,NJ,NJ
388,NY,NY
389,IL,IL
390,CA,CA
391,WA,WA
392,FL,FL
393,CA,CA
394,NY,NY
395,,
396,,
397,,
398,CA,CA
399,CA,CA
400,CA,CA
401,CA,CA
402,,
403,CA,CA
404,FL,CA
405,,
406,CA,CA
407,MN,MN
408,MO,CA
409,AL,AL
410,CA,CA
411,CA,CA
412,,
413,,
414,,
415,,
416,,
417,,
418,,
419,,
420,,
421,CA,CA
422,CA,CA
423,IN,IN
424,CA,CA
425,CO,CO
426,CA,CA
427,,CA
428,FL,IN
429,CA,CA
430,,
431,,
432,,
433,CA,CA
434,,
435,,
436,,
437,,
438,NC,NC
439,CA,CA
440,IA,IA
441,,IL
442,OH,OH
443,IL,IL
444,,
445,MI,MI
446,NY,NY
447,NY,NY
448,CA,CA
449,,
451,NY,NY
452,GA,GA
453,IL,IL
454,NY,NY
455,,
456,IN,IN
457,CA,CA
458,WA,OH
459,TN,TN
460,MN,MN
461,,
462,MN,MN
463,NE,NE
464,TN,TN
465,NE,NE
466,WV,WV
467,CA,CA
468,,
469,TN,TN
470,NE,NE
471,TN,TN
472,TN,TN
473,TN,TN
474,NV,NV
475,NE,NE
476,NE,NE
477,IL,IL
478,,
479,,
480,NE,NE
481,NE,NE
482,TX,TX
483,IN,IN
484,CO,CO
485,OR,OR
486,,
487,,
488,,
489,PA,PA
490,MD,MD
491,CA,CA
492,CA,CA
493,CA,CA
494,TX,TX
495,MN,MN
496,NY,NY
497,,
498,,
499,,
500,VA,VA
501,,
502,OR,OR
503,WA,WA
504,,
505,IL,IL
506,MI,MI
507,MI,MI
508,FL,FL
509,CA,CA
510,TN,TN
512,CA,CA
513,CA,CA
514,OR,OR
515,,
516,,
517,,
518,,
519,CA,CA
520,IL,IL
521,,
522,NJ,CA
523,,
524,,
525,,
526,,
527,MA,MA
528,,
529,CA,CA
530,,
531,,
532,IN,IN
533,TN,TN
534,,
535,,
536,TX,TX
537,GA,GA
538,,
539,,
