;Why or why not?.1
0;
1;While mental health has become a more prominent issue recently, I feel like there is still a lot of stigma surrounding it. At this point, with our culture, I would not bring it up. I hope that within the next 20-30 years that stigma will be gone and it can be brought up safely in an interview.
2;Stigma, mainly. 
3;would not if I was not 100% sure that the disclosure would not affect my application
4;I don't know
5;It would depend on the field & what I knew of the employer.
6;I want to gauge their ability to support, understand and empathize with my situation.
7;Same reason.
8;Only if I felt I required accommodation. Even then, reluctantly because it makes me a less attractive candidate.
9;It really depends on the person, the employer, and how comfortable I felt discussing the issue.
10;Same reason as above.
11;It isn't relevant to my ability as a programmer.
12;Also seems highly likely to be irrelevant at the point that I am in an interview. 
13;Too private.
14;Because Of the potential for discrimination
15;I don't think it's appropriate to discuss those issues during early interviews. I'd wait to discuss with HR after I have a feel for what's going on.
16;I have found their reaction to be a good indicator of whether our ideals are aligned / whether it's a good fit for me as a workplace.
17;
18;bad idea 
19;Stigmatized. Uncomfortable for both parties. Mental instability frowned upon in technical roles. 
20;I feel it would definitely affect my chances at being accepted.
21;I don't have any
22;
23;I feel like this would put you out of the running for a position almost immediately. Or at least be used as a negative mark against you.
24;Again, only if it could effect my job performance
25;
26;Same reason as above.
27;
28;I think most employers would straight up discount me for that
29;See above
30;Depending on the exact nature of the issue I might think they wouldn't want to hire me
31;Seems unnecessary. It's asinine to bring up unnecessary conversation ever. 
32;Again, when properly coped with it shouldn't affect my ability to do the job. I expect, as with physical health issues, I'll be allowed time needed when coping is necessary.
33;Same as before 
34;It's no different from a physical health issue. If it can potentially affect my performance then I should be clear.
35;same as before
36;Same answer as for physical health issues, though admittedly I'm a little slower to bring up mental health concerns due to stigma fears.
37;
38;
39;Because my employer needs to support me in order to get the best work possible from me
40;In most regards it doesn't concern the employer, if it becomes an issue then I'd be willing to discuss it.
41;For me, it depends on how the interview is going - if it's clear that it's a dead end, I would not bring it up.
42;Too easy to map mental health to ability to do the job.
43;
44;
45;Seems like it would deter them from hiring me.
46;"I think the only time would be with ""on call"" work (i.e. Being available 24/7 with no set schedule) as this causes far too much stress in my life. I refuse, and have quit, jobs that rely on this method. The job that I quit was promised to have a schedule in the interview. "
47;There's likely nothing they could do to mitigate any performance problems as a result of a mental health issue, so I probably wouldn't discuss. 
48;Would want to know if management support is going to work.
49;Not related to my qualifications or skills
50;
51;
52;mental issues are a bit stigmatic, everyone knows it's there but no-one wants to deal with it. A broken leg isn't that big a deal, but a broken mind is abstract.
53;I understand that, while they might consciously not act differently if I had a mental health issue, I'm not at all convinced that people in tech, even those who know what Cognitive Dissonance means, will actually take steps to avoid it.  Furthermore, there's a huge stigma behind it.
54;Because, if it were a mental health issue that might affect my job performance, it may be easy to hide, while being forthcoming about it might impact my likelihood to get the job in the first place.
55;Same reasons. 
56;
57;
58;The stigma of the topic.
59;If it got in the way of work, it if I needed some accommodation, I would, but, otherwise, it wouldn't seem worth it.
60;same thing: If it has impact or if it's visible at work, why trying to hide.
61;If it would have a direct impact on my ability to perform the role I would feel compelled to mention it, but depending on how understanding I expected the employer to I might not, due to the negative consequences. 
62;
63;Won't get the job. 
64;Disclosing that cannot help you get the job
65;
66;
67;Interviews are largely about knowledge / mental capacity. Could be seen as a weaker mental capacity.
68;
69;It should not effect they way how I work. So it should not have any negative things for the new boss
70;Only if it would affect my work somehow
71;Might have negative influence on getting a job or not
72;Could only hurt my chances
73;Again: honesty.
74;I feel uncomfortable discussing such issues with someone I've just met.
75;Don't know, feeling
77;"It's a weakness; and you mostly want to talk about your strenghts"
78;I don't think companies are able or willing to deal with a mental health issue. I feel like bringing it up Cottle negatively affect the decision to hire me. 
79;Again, to ensure that the employer is not going to turn out to be unsupportive of employee needs.
80;I wouldn't know whether it would affect chances of getting employed.
81;I don't think they would hire me, in the first place.
82;Only if I felt it would impact my productivity
83;If it relates to schedule availability, etc.  (Eg, can't work during certain hours, need frequent breaks, etc.)
84;
85;I would bring up any issue that would affect my performance of that jobs duties 
86;Mental health is still viewed as a taboo.
87;I would be worried that it might affect my job application even though I am aware that they are not legally allowed to do so. However, it would be difficult to determine / prove if that was the case or not.
88;
89;Because it can be seen as a weakness and they may chose another applicant over me because of it.
90;Not sure how the employer would see the problem there's no information available for them or on the mental problems and how to deal with it.
91;bias
92;Stigma
93;Same response as the physical one.
94;
95;"My mental health issues are manageable outside
Of work, mostly, so I don't bring them up "
96;Same as with the physical.
97;Again it's not a situation I've experienced so I think it would depend on the health issue and how comfortable I was with the potential employer.
98;
99;They wouldn't hire me
100;"Same as before; lack of worker protections and proof that non-hire was result of disclosure of condition"
101;Stigma.
102;If it was relevant to the position. 
103;Same answer as before. I prefer to use an interview as an opportunity to learn more about a potential employer and to showcase my skills. I wouldn't want to waste that valuable time on the minutiae of my health.
104;It _could_ way into being hired, instead of skills
105;I cannot see how sharing this information would benefit me.
106;I don't have anything diagnosed specifically wrt my anxiety and depression.  Sometimes I don't take it as seriously because of that.
107;"If I was ""recovered"""
108;I imagine that would prompt the interviewers to quickly disregard my resume.
109;Again, if relevant to the work hours or similar.
110;I am to the point in my career that if cannot be honest with my employer, then I don't want to work for them.
111;None of their business
112;Same reasons.  Doubt that interviewer would be able to avoid bias.
114;I suffer from burn-outs. If I'm ever willing to work for an employer again, this is something they need to be aware of in order to find the best way to avoid it.
115;Would want them to know in case of potential impact on my work.  But would be hesitant due to possible stigma associated with it 
116;Depends on the vibe and the type of work.
117;
118;My internalized stigma is way too strong. 
119;
120;Because I wouldn't want to work for an employer who wouldn't hire someone with such a condition
121;"I think there is a general feeling of ""you should be able to manage that"" via some employers and this is not where I would want to test that. I might bring up mental health coverage during an interview though."
122;
123;Are you serious right now? I would never in a million years discuss my mental health issues. I don't need my new employers judging me off the bat and having a reason to not give me the job because someone equally qualified who doesn't over share and talk about their problems is given the job instead of me. I also am lucky that work is a place where I often function better than I do at home. Personally, I do better when I don't allow myself the option to give into depressive episodes at work. But that's just my experience. I've worked at companies where my supervisor knew I was dealing with depression and addiction recovery and it didn't help me at all. He didn't understand and I made it easier for myself to slack off. At my new job I haven't told anyone and Even though I think they'd be more supportive and understanding, I feel better that I keep my personal issues out of the work place. Though I understand completely that other people who have mental health issues are not as lucky to be as functional as I am. 
124;It would likely result in a negative opinion of me, and my ability to perform the job, and might also be communicated beyond the person performing the interview. It's not a potential employers business if it doesn't effect my ability to do the job, and I value my privacy.
125;I assume that chronic mental health issues, like chronic physical health issues, would often affect hiring decisions, even though employers won't say so.  I'm diabetic, and have observed discrimination on the physical health side of things.
126;It's a very personal thing, to talk about a mental health issue. It is harder to talk about because it forces me to tell you something that you otherwise might never know, unlike a physical ailment which could be visible or become visible over time without my consenting to share it. 
127;Because it would impact the relationship (I might need certain freedom or personal space for example) and I believe honesty up front to be the best approach.
128;Same reason, if it does not affect my job skills, interviewer does not need to know. Otherwise, I might tell about it. 
129;I don't want to get passed over. 
130;Afraid to add something negative to the balance sheet
131;There is zero upside to bringing it up. There is no foreseeable circumstance in which bringing it up forestalls a problem or leads to opportunity.
132;It carries a stigma
133;I would be afraid it would jeopardize my chances
134;Would only bring it up if it affected my ability to do the job.
135;Again, unless it somehow directly impacts my work it's nobody's business
136;I think it could negatively impact my candidacy for the position.
137;Depends on the issue at hand. Would it affect my performance or would it require adjustments? Then, yes. If not, then I probably wouldn't.
138;Never. Absolutely never. This would be stigmatized to hell. 
139;"Same as above. Things like ""please send an agenda w/HR meetings, because anxiety"" usually come up after hire, not at interview time, IME"
140;Jeopardizes getting the job
141;I do not want health issues to effect how I am perceived in an interview.
142;Risk of not getting an offer
143;may not get hired
144;I'm already deaf. I have a lot working against me in the interview process already.  
145;Because it's none of their business. 
146;"Mental health issues are hugely stigmatized.  I made the mistake of letting my last employer find out that I had ADHD and an adderall prescription not really thinking about it.  The head of engineering would joke about me ""doing meth"" after that at horrible moments including me (I have no degree) interviewing a PhD candidate who had done groundbreaking work in SMP and threaded rendering at SGI in the 90s and was all around awesome.  Luckily he made a joke about not talking about the shrooms he did to lighten that one, but there were many worse situations.  I was considered one of the most valued employees because of my ability to get anything done with the LLVM compiler system.  One day I pointed out to the manager in question that he was on a higher dosage of the same medication I was on, and the stupid meth jokes got worse from there.  It's not really a light accusation to make on somebody given our country's state of drug law, something which I am something of an activist for reform of.  It was was degrading. I was also made fun of for being autistic despite that not being a disorder I have.  "
147;As above, but with added stigma that mental health issues are seen as not serious (and therefore bringing it up is itself would be considered a problem), or as incurable and therefore at least as big a liability as a physical problem.
148;
149;
150;
151;It depends on the reputation of the employer
152;Would not get hired
153;I would be reluctant to bring up a mental health issue for fear that it could reduce my chances of getting the job.
154;There is absolutely no way it could help, and a lot lot lot of ways it could hurt. And even though I should be protected by non-discrimination laws, if someone did use it in their decision-making, I'd have virtually no recourse.
155;
156;
157;
158;Not their business
159;Could contribute to employment decision (legal or not) 
160;It would be judged as a risk.
161;They might think I'm a complainer
162;None of their business as long as I feel I can perform my work 
163;Supervisors don't like to deal with those sort of issues.
164;"Potentially frowned upon
"
165;
166;Only if it is relevant for the work.
167;
168;If it impacts the work, they should know about it.
169;
170;I'm not sure if it'd harm my chances, but I wouldn't want to give anyone more reason to not hire me
171;Would be concerned at the negative stigma
172;Stigma.
173;
174;
175;I feel it would negatively effect my ability to get the position
176;
177;I would be afraid it would negatively impact my chances.
178;I would want to set expectations of my ability from the start
179;
180;It might be important to know how they react to such things.
181;depends if it's relevant
182;Usually not relevant
183;It's none of their business until it affects my work
184;That is a slippery slope. In my opinion your chances of getting the job are much less if you bring up mental health issues.
185;I don't have one, so it's hard to relate
186;Concern it could overshadow other issues
187;I would likely prefer to wait until the offer stage to discuss mental health issue / accommodations, rather than in the interview
188;same
189;Wouldn't want marks against me
190;
191;It depends on how open the potential employer is about mental health
192;
193;
194;If it would make me seem less suitable for the job
195;I'd worry that the reaction would not be one of understanding and that it would count against me during the selection process.
196;
197;It hard. There is still a stigma around mental health problems and people faking it, certainly around my home town.
198;
199;I would not because I am very concerned that it would negatively affect my chances for employment.
200;I wouldn't bring it up unless absolutely necessary for my day-to-day job function, out of fear of discrimination or not being hired.
201;Same as physical health reason really. Coupled with the fact that nowadays I feel it's even more important to highlight mental health issues rather than sweeping under the carpet.
202;
203;Because I am open about being a mental health advocate - it's one of the reasons I am good at my job.
204;Stigma.
205;if it wasn't relevant
206;
207;Again, wouldn't want it to be held against me compared to other candidates.
208;
209;Same reason as above
210;
211;Depends on whether or not I feel it would impact my ability to do the work on a regular basis.
212;Stigma.
213;
214;Same reason, it may affect my productivity.
215;
216;
217;Yes, If can affect work
218;
219;cos I have a lot of crap in my head and i am ashamed about it
220;I like to be open about it up front 
221;
222;Only if it required immediate accommodation.
223;Less chances of getting the job, plus negative references for the future.
224;Mental health is still stigmatised enough and not protected enough it could result in my not getting a job I wanted.
225;Seems too private to share
226;I imagine they will dismiss my application
227;I don't know if I would do that. 
228;Not sure. That would depend a lot on the company I would be interviewing with.
229;same reason as above. it's my problem and my business alone.
