;Why or why not?
0;
1;It would depend on the health issue. If there is a health issue that would not immediately affect my job performance, such as diabetes, I would not bring it up during the interview. If it was something more severe, such as narcolepsy, I might bring it up depending on how controlled it was.
2;They would provable need to know, to Judge if I can do my job or not. 
3;old back injury, doesn't cause me many issues but occasionally impacts my ability to work at desk 
4;Depending on the interview stage and whether I required an accommodation, I would
5;If it would potentially affect my ability to do the job or might require special equipment/etc then it would only be fair and honest.
6;I want to gauge their ability to support this issue.
7;I feel it's irrelevant.
8;Makes me a less attractive candidate.
9;Generally speaking, and this isn't always the case, physical health issues don't carry the same stigma as mental ones.
10;Being honest upfront shows respect for the future employer. If they see that as a stumbling block in hiring you, then it probably wouldn't have been a good fit in the long run anyways.
11;It isn't relevant to my ability as a programmer.
12;Seems highly unlikely to be relevant
13;I might have special needs that would be impossible to hide.
14;Because of the potential for discrimination
15;I don't think it's appropriate to discuss those issues during early interviews. I'd wait to discuss with HR after I have a feel for what's going on.
16;
17;
18;
19;Physical impairments aren't traditionally stigmatized. Far less judgements and resulting talk behind backs compared to mental
20;It might affect their opinion of me.
21;I don't have any
22;depends on the illness
23;"Like all interviews, I feel like not putting your ""best foot"" forward puts you at a disadvantage."
24;Only if it would impact my performance to the job.
25;
26;I'm afraid I wouldn't be hired for the job, even when the physical issue would not have been relevant for my work.
27;
28;I'd be wary of them seeing potential time out for appointments etc as a negative
29;I wouldn't want to be judged against someone healthy
30;Depending on the exact nature of the issue I might think they wouldn't want to hire me
31;Seems unnecessary
32;It doesn't have any bearing on my ability to accomplish the job when properly coped with.
33;Completely dependant on the relevance of the mental health issue and it's impact on the work being applied for. 
34;It's good to be upfront about everything.
35;I don't think is the place nor the time for this
36;These days I'm more comfortable expressing anything that could be a factor in getting work done. It helps me screen employers: if anything is an insurmountable problem for them, then it is clearly not a place I want to work.
37;
38;
39;The employer needs to know that I would need support in order to do my best work for them
40;An employer weighs the impact to quality/availability of work and the cost to productivity as well as the cost (in my case) to ensure that I have the proper equipment (I'm obese).  Unfortunately, it's not something that's avoidable for the employer to notice.
41;For me, it depends on how the interview is going - if it's clear that it's a dead end, I would not bring it up.
42;Depends on the social perception of the issue.
43;
44;
45;Seems like it would deter them from hiring me.
46;I would bring up a physical health issue with a prospective employer if I were to find that the job required tasks that I was unable to complete or safely attempt that could cause injury to myself or others. 
47;If the issue would impact my performance without some form of concessions/consideration on the party of the employer, I would, otherwise I wouldn't. 
48;Because I'd want to know if they can provide an ergonomic keyboard, or are happy with a worker plugging their own keyboard into their computers.
49;None of their business
50;
51;
52;simply because it's important for them to be aware of the situation when I would have physical issues.
53;I understand that, while they might consciously not act differently if I had a physical issue, I'm not at all convinced that people in tech, even those who know what Cognitive Dissonance means, will actually take steps to avoid it.
54;Because, if it were a physical health issue that might affect my job performance, it'd be difficult to hide and a potential might resent the fact that I wasn't forthcoming about it in an interview.
55;It's too early - I don't want to discuss potential deal breakers until they've decided they want me. 
56;
57;
58;It would depend on the issue and the employer.
59;I wouldn't want to risk leaving a current job position for one where such things could be an issue.
60;if the physical issue is obvious at work, it's better not to try to hide.
61;If it were relevant to the role I would mention it
62;
63;No because it might not get me the job 
64;Disclosing that cannot help you get the job
65;None of their business.
66;
67;
68;
69;It should not effect they way how I work. So it should not have any negative things for the new boss
70;because it might affect my working hours (visiting doctors etc)
71;To be honest I guess and not to end up with suprises
72;Could only hurt my chances
73;Honesty works.
74;For physical health issues that may not impact my  daily job, I don't feel the need to divulge them to a prospective employer.
75;
77;depends if it is relevant. If it's none of their business, then not.
78;Companies are more equipped to accommodate physical health issues and it looks bad if they don't. 
